,ds,y
281,2022-10-08 04:00:00,1328.17
282,2022-10-08 05:00:00,1330.42
283,2022-10-08 06:00:00,1331.93
284,2022-10-08 07:00:00,1330.47
285,2022-10-08 08:00:00,1325.25
286,2022-10-08 09:00:00,1327.26
287,2022-10-08 10:00:00,1328.05
288,2022-10-08 11:00:00,1329.8
289,2022-10-08 12:00:00,1328.95
290,2022-10-08 13:00:00,1325.75
291,2022-10-08 14:00:00,1324.96
292,2022-10-08 15:00:00,1324.31
293,2022-10-08 16:00:00,1329.31
294,2022-10-08 17:00:00,1327.48
295,2022-10-08 18:00:00,1324.94
296,2022-10-08 19:00:00,1324.54
297,2022-10-08 20:00:00,1325.29
298,2022-10-08 21:00:00,1307.34
299,2022-10-08 22:00:00,1311.83
300,2022-10-08 23:00:00,1315.48
301,2022-10-09 00:00:00,1312.49
302,2022-10-09 01:00:00,1311.58
303,2022-10-09 02:00:00,1308.46
304,2022-10-09 03:00:00,1310.69
305,2022-10-09 04:00:00,1313.21
306,2022-10-09 05:00:00,1314.62
307,2022-10-09 06:00:00,1317.04
308,2022-10-09 07:00:00,1314.88
309,2022-10-09 08:00:00,1315.33
310,2022-10-09 09:00:00,1317.2
311,2022-10-09 10:00:00,1322.36
312,2022-10-09 11:00:00,1323.09
313,2022-10-09 12:00:00,1326.38
314,2022-10-09 13:00:00,1321.89
315,2022-10-09 14:00:00,1324.32
316,2022-10-09 15:00:00,1326.52
317,2022-10-09 16:00:00,1325.43
318,2022-10-09 17:00:00,1324.5
319,2022-10-09 18:00:00,1325.66
320,2022-10-09 19:00:00,1319.82
321,2022-10-09 20:00:00,1320.9
322,2022-10-09 21:00:00,1321.45
323,2022-10-09 22:00:00,1316.65
324,2022-10-09 23:00:00,1323.13
325,2022-10-10 00:00:00,1333.19
326,2022-10-10 01:00:00,1330.91
327,2022-10-10 02:00:00,1324.45
328,2022-10-10 03:00:00,1323.18
329,2022-10-10 04:00:00,1324.64
330,2022-10-10 05:00:00,1317.94
331,2022-10-10 06:00:00,1315.09
332,2022-10-10 07:00:00,1316.7
333,2022-10-10 08:00:00,1306.79
334,2022-10-10 09:00:00,1312.87
335,2022-10-10 10:00:00,1310.0
336,2022-10-10 11:00:00,1315.0
337,2022-10-10 12:00:00,1318.33
338,2022-10-10 13:00:00,1310.4
339,2022-10-10 14:00:00,1306.92
340,2022-10-10 15:00:00,1308.27
341,2022-10-10 16:00:00,1300.8
342,2022-10-10 17:00:00,1312.47
343,2022-10-10 18:00:00,1308.22
344,2022-10-10 19:00:00,1307.59
345,2022-10-10 20:00:00,1307.32
346,2022-10-10 21:00:00,1306.74
347,2022-10-10 22:00:00,1292.22
348,2022-10-10 23:00:00,1290.03
349,2022-10-11 00:00:00,1277.9
350,2022-10-11 01:00:00,1276.08
351,2022-10-11 02:00:00,1279.99
352,2022-10-11 03:00:00,1278.37
353,2022-10-11 04:00:00,1277.44
354,2022-10-11 05:00:00,1275.04
355,2022-10-11 06:00:00,1277.89
356,2022-10-11 07:00:00,1284.19
357,2022-10-11 08:00:00,1284.91
358,2022-10-11 09:00:00,1280.64
359,2022-10-11 10:00:00,1283.23
360,2022-10-11 11:00:00,1286.72
361,2022-10-11 12:00:00,1285.94
362,2022-10-11 13:00:00,1274.64
363,2022-10-11 14:00:00,1282.37
364,2022-10-11 15:00:00,1293.56
365,2022-10-11 16:00:00,1295.55
366,2022-10-11 17:00:00,1290.96
367,2022-10-11 18:00:00,1278.85
368,2022-10-11 19:00:00,1282.51
369,2022-10-11 20:00:00,1281.69
370,2022-10-11 21:00:00,1276.5
371,2022-10-11 22:00:00,1280.9
372,2022-10-11 23:00:00,1280.11
373,2022-10-12 00:00:00,1286.52
374,2022-10-12 01:00:00,1283.61
375,2022-10-12 02:00:00,1284.21
376,2022-10-12 03:00:00,1283.71
377,2022-10-12 04:00:00,1291.91
378,2022-10-12 05:00:00,1292.0
379,2022-10-12 06:00:00,1296.94
380,2022-10-12 07:00:00,1293.88
381,2022-10-12 08:00:00,1297.76
382,2022-10-12 09:00:00,1302.99
383,2022-10-12 10:00:00,1299.99
384,2022-10-12 11:00:00,1297.68
385,2022-10-12 12:00:00,1294.6
386,2022-10-12 13:00:00,1298.76
387,2022-10-12 14:00:00,1296.41
388,2022-10-12 15:00:00,1299.24
389,2022-10-12 16:00:00,1294.66
390,2022-10-12 17:00:00,1292.17
391,2022-10-12 18:00:00,1296.04
392,2022-10-12 19:00:00,1297.05
393,2022-10-12 20:00:00,1299.19
394,2022-10-12 21:00:00,1299.86
395,2022-10-12 22:00:00,1294.51
396,2022-10-12 23:00:00,1294.44
397,2022-10-13 00:00:00,1296.44
398,2022-10-13 01:00:00,1292.72
399,2022-10-13 02:00:00,1286.88
400,2022-10-13 03:00:00,1286.47
401,2022-10-13 04:00:00,1284.55
402,2022-10-13 05:00:00,1287.46
403,2022-10-13 06:00:00,1284.07
404,2022-10-13 07:00:00,1277.43
405,2022-10-13 08:00:00,1278.21
406,2022-10-13 09:00:00,1273.52
407,2022-10-13 10:00:00,1242.95
408,2022-10-13 11:00:00,1243.09
409,2022-10-13 12:00:00,1217.93
410,2022-10-13 13:00:00,1222.56
411,2022-10-13 14:00:00,1222.02
412,2022-10-13 15:00:00,1256.9
413,2022-10-13 16:00:00,1265.3
414,2022-10-13 17:00:00,1275.1
415,2022-10-13 18:00:00,1285.68
416,2022-10-13 19:00:00,1287.03
417,2022-10-13 20:00:00,1293.65
418,2022-10-13 21:00:00,1294.84
419,2022-10-13 22:00:00,1292.43
420,2022-10-13 23:00:00,1287.08
421,2022-10-14 00:00:00,1290.24
422,2022-10-14 01:00:00,1328.97
423,2022-10-14 02:00:00,1332.61
424,2022-10-14 03:00:00,1329.76
425,2022-10-14 04:00:00,1327.1
426,2022-10-14 05:00:00,1326.36
427,2022-10-14 06:00:00,1325.76
428,2022-10-14 07:00:00,1321.74
429,2022-10-14 08:00:00,1321.58
430,2022-10-14 09:00:00,1327.52
431,2022-10-14 10:00:00,1330.39
432,2022-10-14 11:00:00,1325.87
433,2022-10-14 12:00:00,1338.74
434,2022-10-14 13:00:00,1330.83
435,2022-10-14 14:00:00,1320.3
436,2022-10-14 15:00:00,1310.04
437,2022-10-14 16:00:00,1304.63
438,2022-10-14 17:00:00,1308.62
439,2022-10-14 18:00:00,1300.22
440,2022-10-14 19:00:00,1298.72
441,2022-10-14 20:00:00,1300.93
442,2022-10-14 21:00:00,1292.15
443,2022-10-14 22:00:00,1295.78
444,2022-10-14 23:00:00,1296.27
445,2022-10-15 00:00:00,1295.97
446,2022-10-15 01:00:00,1298.16
447,2022-10-15 02:00:00,1299.0
448,2022-10-15 03:00:00,1300.26
449,2022-10-15 04:00:00,1298.52
450,2022-10-15 05:00:00,1295.3
451,2022-10-15 06:00:00,1293.56
452,2022-10-15 07:00:00,1294.99
453,2022-10-15 08:00:00,1280.47
454,2022-10-15 09:00:00,1280.22
455,2022-10-15 10:00:00,1284.88
456,2022-10-15 11:00:00,1287.42
457,2022-10-15 12:00:00,1285.34
458,2022-10-15 13:00:00,1288.96
459,2022-10-15 14:00:00,1288.51
460,2022-10-15 15:00:00,1286.08
461,2022-10-15 16:00:00,1285.37
462,2022-10-15 17:00:00,1282.88
463,2022-10-15 18:00:00,1283.17
464,2022-10-15 19:00:00,1282.47
465,2022-10-15 20:00:00,1280.91
466,2022-10-15 21:00:00,1275.56
467,2022-10-15 22:00:00,1271.0
468,2022-10-15 23:00:00,1274.92
469,2022-10-16 00:00:00,1281.56
470,2022-10-16 01:00:00,1282.69
471,2022-10-16 02:00:00,1281.93
472,2022-10-16 03:00:00,1283.63
473,2022-10-16 04:00:00,1284.58
474,2022-10-16 05:00:00,1284.65
475,2022-10-16 06:00:00,1284.24
476,2022-10-16 07:00:00,1283.24
477,2022-10-16 08:00:00,1288.87
478,2022-10-16 09:00:00,1285.91
479,2022-10-16 10:00:00,1281.68
480,2022-10-16 11:00:00,1284.03
481,2022-10-16 12:00:00,1282.0
482,2022-10-16 13:00:00,1284.65
483,2022-10-16 14:00:00,1283.12
484,2022-10-16 15:00:00,1286.35
485,2022-10-16 16:00:00,1284.55
486,2022-10-16 17:00:00,1284.34
487,2022-10-16 18:00:00,1283.06
488,2022-10-16 19:00:00,1308.09
489,2022-10-16 20:00:00,1310.5
490,2022-10-16 21:00:00,1293.25
491,2022-10-16 22:00:00,1308.32
492,2022-10-16 23:00:00,1305.95
493,2022-10-17 00:00:00,1303.38
494,2022-10-17 01:00:00,1296.96
495,2022-10-17 02:00:00,1299.87
496,2022-10-17 03:00:00,1301.59
497,2022-10-17 04:00:00,1305.04
498,2022-10-17 05:00:00,1308.59
499,2022-10-17 06:00:00,1307.06
500,2022-10-17 07:00:00,1312.22
501,2022-10-17 08:00:00,1308.98
502,2022-10-17 09:00:00,1317.98
503,2022-10-17 10:00:00,1319.45
504,2022-10-17 11:00:00,1317.41
505,2022-10-17 12:00:00,1319.53
506,2022-10-17 13:00:00,1331.41
507,2022-10-17 14:00:00,1326.0
508,2022-10-17 15:00:00,1329.18
509,2022-10-17 16:00:00,1321.08
510,2022-10-17 17:00:00,1320.84
511,2022-10-17 18:00:00,1320.79
512,2022-10-17 19:00:00,1325.54
513,2022-10-17 20:00:00,1329.78
514,2022-10-17 21:00:00,1330.63
515,2022-10-17 22:00:00,1331.11
516,2022-10-17 23:00:00,1331.4
517,2022-10-18 00:00:00,1337.98
518,2022-10-18 01:00:00,1332.83
519,2022-10-18 02:00:00,1327.69
520,2022-10-18 03:00:00,1333.31
521,2022-10-18 04:00:00,1335.05
522,2022-10-18 05:00:00,1332.01
523,2022-10-18 06:00:00,1335.92
524,2022-10-18 07:00:00,1336.74
525,2022-10-18 08:00:00,1322.78
526,2022-10-18 09:00:00,1324.58
527,2022-10-18 10:00:00,1325.07
528,2022-10-18 11:00:00,1325.89
529,2022-10-18 12:00:00,1331.12
530,2022-10-18 13:00:00,1321.95
531,2022-10-18 14:00:00,1308.28
532,2022-10-18 15:00:00,1307.61
533,2022-10-18 16:00:00,1309.93
534,2022-10-18 17:00:00,1309.15
535,2022-10-18 18:00:00,1293.46
536,2022-10-18 19:00:00,1300.85
537,2022-10-18 20:00:00,1314.17
538,2022-10-18 21:00:00,1310.4
539,2022-10-18 22:00:00,1312.6
540,2022-10-18 23:00:00,1310.71
541,2022-10-19 00:00:00,1300.89
542,2022-10-19 01:00:00,1306.34
543,2022-10-19 02:00:00,1306.13
544,2022-10-19 03:00:00,1305.16
545,2022-10-19 04:00:00,1303.36
546,2022-10-19 05:00:00,1301.37
547,2022-10-19 06:00:00,1294.49
548,2022-10-19 07:00:00,1299.77
549,2022-10-19 08:00:00,1299.47
550,2022-10-19 09:00:00,1306.55
551,2022-10-19 10:00:00,1300.76
552,2022-10-19 11:00:00,1300.25
553,2022-10-19 12:00:00,1299.58
554,2022-10-19 13:00:00,1293.42
555,2022-10-19 14:00:00,1296.55
556,2022-10-19 15:00:00,1304.76
557,2022-10-19 16:00:00,1298.07
558,2022-10-19 17:00:00,1295.64
559,2022-10-19 18:00:00,1296.32
560,2022-10-19 19:00:00,1296.94
561,2022-10-19 20:00:00,1294.49
562,2022-10-19 21:00:00,1294.33
563,2022-10-19 22:00:00,1286.37
564,2022-10-19 23:00:00,1285.09
565,2022-10-20 00:00:00,1276.85
566,2022-10-20 01:00:00,1279.79
567,2022-10-20 02:00:00,1282.24
568,2022-10-20 03:00:00,1279.98
569,2022-10-20 04:00:00,1290.9
570,2022-10-20 05:00:00,1292.36
571,2022-10-20 06:00:00,1291.31
572,2022-10-20 07:00:00,1292.43
573,2022-10-20 08:00:00,1291.17
574,2022-10-20 09:00:00,1296.3
575,2022-10-20 10:00:00,1299.03
576,2022-10-20 11:00:00,1299.64
577,2022-10-20 12:00:00,1292.32
578,2022-10-20 13:00:00,1297.9
579,2022-10-20 14:00:00,1306.13
580,2022-10-20 15:00:00,1299.83
581,2022-10-20 16:00:00,1290.59
582,2022-10-20 17:00:00,1284.81
583,2022-10-20 18:00:00,1288.9
584,2022-10-20 19:00:00,1284.56
585,2022-10-20 20:00:00,1282.55
586,2022-10-20 21:00:00,1284.82
587,2022-10-20 22:00:00,1282.96
588,2022-10-20 23:00:00,1282.57
589,2022-10-21 00:00:00,1284.84
590,2022-10-21 01:00:00,1286.57
591,2022-10-21 02:00:00,1289.79
592,2022-10-21 03:00:00,1287.54
593,2022-10-21 04:00:00,1288.28
594,2022-10-21 05:00:00,1288.02
595,2022-10-21 06:00:00,1285.44
596,2022-10-21 07:00:00,1284.59
597,2022-10-21 08:00:00,1278.12
598,2022-10-21 09:00:00,1280.39
599,2022-10-21 10:00:00,1281.49
600,2022-10-21 11:00:00,1275.52
601,2022-10-21 12:00:00,1269.59
602,2022-10-21 13:00:00,1285.86
603,2022-10-21 14:00:00,1279.66
604,2022-10-21 15:00:00,1297.47
605,2022-10-21 16:00:00,1296.96
606,2022-10-21 17:00:00,1298.63
607,2022-10-21 18:00:00,1296.05
608,2022-10-21 19:00:00,1303.3
609,2022-10-21 20:00:00,1302.67
610,2022-10-21 21:00:00,1299.02
611,2022-10-21 22:00:00,1301.4
612,2022-10-21 23:00:00,1299.75
613,2022-10-22 00:00:00,1301.89
614,2022-10-22 01:00:00,1298.98
615,2022-10-22 02:00:00,1296.07
616,2022-10-22 03:00:00,1298.81
617,2022-10-22 04:00:00,1297.24
618,2022-10-22 05:00:00,1296.53
619,2022-10-22 06:00:00,1297.78
620,2022-10-22 07:00:00,1299.69
621,2022-10-22 08:00:00,1300.62
622,2022-10-22 09:00:00,1299.72
623,2022-10-22 10:00:00,1304.42
624,2022-10-22 11:00:00,1305.67
625,2022-10-22 12:00:00,1305.99
626,2022-10-22 13:00:00,1310.3
